Klíč_adresy,Adresa_GPS,Poslední_kontrola,Příští_kontrola,Dní_do_kontroly,Stav_kontroly,Barva_bodu,Všechny_termíny,GPS_lat,GPS_lon,GPS_poznámka,Zdrojový_soubor,Zdrojový_řádek,Rok výroby,Serviska,Hlídáme sami termín,Hlavní kontakt,Kraj,Jaký zdroj,Umístění,DŮLEŽITÁ POZNÁMKA,Měsíc_1,Měsíc_2,Měsíc_3,Měsíc_4,Měsíc_5,Měsíc_6,Měsíc_7,Měsíc_8,Měsíc_9,Měsíc_10,Měsíc_11,Měsíc_12,Sloupec_21,Poznámky,Cena FZ,Faktura na,Protokol s fakturou na,Smlouva ano/ne,Sloupec_27,Sloupec_28,Sloupec_29,Sloupec_30,Sloupec_31,Sloupec_32,Sloupec_33,Sloupec_34,Sloupec_35,Sloupec_36,Sloupec_37,Sloupec_38,Sloupec_39,Sloupec_40,Sloupec_41,Sloupec_42,Sloupec_43,Sloupec_44,Sloupec_45,Sloupec_46,Sloupec_47,Sloupec_48,Sloupec_49,Sloupec_50,Sloupec_51,Sloupec_52,Sloupec_53,Sloupec_54,Sloupec_55,Sloupec_56,Sloupec_57,Sloupec_58,Sloupec_59,Sloupec_60,Sloupec_61,Sloupec_62,Sloupec_63,Sloupec_64,Sloupec_65,Sloupec_66,Sloupec_67,Sloupec_68,Sloupec_69,Sloupec_70,Sloupec_71,Sloupec_72,Sloupec_73,Sloupec_74,Sloupec_75,Sloupec_76,Sloupec_77,Sloupec_78,Sloupec_79,Sloupec_80,Sloupec_81,Sloupec_82,Sloupec_83,Sloupec_84,Sloupec_85,Sloupec_86,Sloupec_87,Sloupec_88,Sloupec_89,Sloupec_90,Sloupec_91,Sloupec_92,Sloupec_93,Sloupec_94,Počet_termínů,Kontakt,Umístění zdroje,Sloupec_8,Cena FZ v Kč,Protokol na
"chotěboř, severní 1911, bd, česká republika","Chotěboř, Severní 1911, BD, Česká republika",,2026-12-04,214,Více než 60 dnů,zelená,2026-12-04 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",187,2022,ano,ano,,Vysočina,ASTIP STRONG 6kVA/1kVA/1F -30 minut,,,,,,,,,,,,,,4/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Miřejovská 602 367 103,"Chotěboř, Severní 1911, BD",,,
"chotěšov, libochovická 166, dps, česká republika","Chotěšov, Libochovická 166, DPS, Česká republika",2024-12-03,2025-06-03,-335,Po termínu,červená,2024-12-03 (proběhlá); 2025-06-03 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,116,2019,,,Ing. Zapletalová 602 192 155,Ústecký,ASTIP PS 15kVA/3F-30 minut,"Chotěšov, Libochovická 166, DPS",,,,,,,3/25,,,,,,3/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"chrudim, obce ležáků 166, senior garden domov chrudim, česká republika","Chrudim, Obce ležáků 166, Senior Garden domov Chrudim, Česká republika",2025-12-22,2026-06-22,49,30–60 dnů,žlutá,2025-12-22 (proběhlá); 2026-06-22 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,117,"2012-nově 2021, 2019",,,p. Bílek- 776103590,Pardubický," STRONG 4kVA/3f-30 minut, 40kVA/3F-15 minut","Chrudim, Obce ležáků 166, Senior Garden domov Chrudim",,,,,,,22/26,,,,,,22/25-1x stop stav,,,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"chrudim, podkopanický mlýn 1135, česká republika","Chrudim, Podkopanický mlýn 1135, Česká republika",2022-01-27,2022-01-27,-1558,Po termínu,červená,2022-01-27 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",188,2019,,,,Pardubický,STRONG 15kVA/3f 60 min.,,,27/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pan Lavicky 732 669 922,"Chrudim, Podkopanický mlýn 1135",,,
"chrudim, v hliníkách 1483 a a b, bd, jednotky j1 a j2, česká republika","Chrudim, V hliníkách 1483 A a B, BD, jednotky J1 a J2, Česká republika",,2026-12-04,214,Více než 60 dnů,zelená,2026-12-04 (plánovaná); 2027-01-13 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",189,2024,,,,Pardubický,"2 x ASTIP PS Liftback 7,5kVA/3F-5 minut",,,13/27-J2,,,,,,,,,,,4/26-1xstop stav 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Papoušek 731 124 061,"Chrudim, V hliníkách 1483 A a B, BD, jednotky J1 a J2",,,
"chuchelné, křížkova 115, koupelny rebel, bd kodus, česká republika","Chuchelné, Křížkova 115, koupelny Rebel, BD Kodus, Česká republika",2026-02-17,2026-08-17,105,Více než 60 dnů,zelená,2026-02-17 (proběhlá); 2026-08-17 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,118,2017,,,,Moravskoslezský,ASTIP PS 7500/3f-45 minut,"Chuchelné, Křížkova 115, koupelny Rebel, BD Kodus",,,17/26,,,,,,17/26,,,,,,09/2021 -vzít lepidlo na ovlásací panel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"dašice, křičenského, mrazírny, česká republika","Dašice, Křičenského, Mrazírny, Česká republika",,2026-07-08,65,Více než 60 dnů,zelená,2026-07-08 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",148,"2017, 2021",,,,Pardubický,PS 40kVA/3f-30 minut-C9 + 50kVA/3F-30 min- C10,,,,,,,,,8/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ročeň - 606 045 597,"Dašice, Křičenského, Mrazírny",,9500,
"dek trade, česká republika","Dek trade, Česká republika",2026-04-14,2026-05-04,0,Méně než 7 dnů,červená,2025-11-11 (proběhlá); 2026-05-11 (plánovaná) | 2025-11-04 (proběhlá); 2026-05-04 (plánovaná) | 2025-11-15 (proběhlá); 2026-01-13 (proběhlá); 2026-04-08 (proběhlá); 2026-05-15 (plánovaná); 2026-07-13 (plánovaná); 2026-10-08 (plánovaná) | 2024-07-09 (proběhlá); 2025-01-09 (plánovaná) | 2026-04-14 (proběhlá); 2026-10-14 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,75 | 76 | 77 | 78 | 79,2017,ano,ano,Hradec Králové,Středočeský,ASTIP STRONG 50 000/3f-45 min,Dek trade,,13/26-po výměně aku,,,8/26-1X,11/26,,13/26-po výměně aku,,,8/26-1x,11/25,,,"objednáno, 7.2.2025 - jsme aktualizovali CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
"deštné v orlických horách . 332, william resort, česká republika","Deštné v Orlických horách . 332, William Resort, Česká republika",2025-12-16,2026-06-16,43,30–60 dnů,žlutá,2025-12-16 (proběhlá); 2026-06-16 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,80,2019,,,DEGA pan Šejvl 777 458 429,Královehradecký,STRONG 15kVA/3F -45 minut,"Deštné v Orlických horách č.p. 332, William Resort",,,,,,,16/26,,,,,,16/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"dlouhá ves, hotel annín, česká republika","Dlouhá Ves, Hotel Annín, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",149,2012,,,,Plzeňský,  PS 2400/3f,,,FZ ukončeny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"Dlouhá Ves, Hotel Annín",,,
"dobrošov, pevnost, česká republika","Dobrošov, pevnost, Česká republika",2026-02-24,2026-08-24,112,Více než 60 dnů,zelená,2026-02-24 (proběhlá); 2026-08-24 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,81,2020,,,Mgr. Rajchl 602 250 060,Královehradecký,ASTIP PS 10kVA/3f-45 minut,"Dobrošov, pevnost ",,,24/26,,,,,,24/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"dobřichovice, anežky české 1119, česká republika","Dobřichovice, Anežky České 1119, Česká republika",2026-04-23,2026-07-22,79,Více než 60 dnů,zelená,2025-10-15 (plánovaná); 2026-04-23 (plánovaná); 2026-07-22 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",150,"2015, 2 x 2025",,ano,,Středočeský,2 x PS 20 kVA /3F - 30 min. +2 x PS 1500/3F -10 minut,,,,,,23/26-2 x nový + 28/27 -G,,,22/26-J,,,15/25-24-3 x stop stav,,,,"obj. G - STOP STAV - v.č.: 15070802 , čekáme na vyjádření jejich elektrikáře k možnému přepětí v RPO, v UPS stopy neprůkazné",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Havlíková 607 024 837 ,"Dobřichovice, Anežky České 1119",,,
"dobříš, u kodetky 1810, doosan emea, česká republika","Dobříš, U Kodetky 1810, DOOSAN EMEA, Česká republika",,2026-07-16,73,Více než 60 dnů,zelená,2026-07-16 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",151,2022,,,,Středočeský,STRONG 1000/1F-20 minut,,,,,,,,,16/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Glajch 725 873 554,"Dobříš, U Kodetky 1810, DOOSAN EMEA",,,
"doksy u kladna, krátká 572, bd, česká republika","Doksy u Kladna, Krátká 572, BD, Česká republika",,2027-04-14,345,Více než 60 dnů,zelená,2027-04-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",152,2019,,,,Středočeský,ASTIP PS Liftback 7500VA/3F -45 minut,,,,,,14/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pan Tatíček 608 972 344,"Doksy u Kladna, Krátká 572, BD",,,
"doksy, tyršovo náměstí 434, hotel grand, česká republika","Doksy, Tyršovo náměstí 434, Hotel Grand, Česká republika",2025-03-11,2025-09-11,-235,Po termínu,červená,2025-03-11 (proběhlá); 2025-09-11 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,82,2023,ano,,M. Šťastná 487 883 000-1,Liberecký,ASTIP STRONG Liftback 10kVA/3F-45 minut,"Doksy, Tyršovo náměstí 434, Hotel Grand",,,,11/25,,,,,,11/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"dolní adršpach 1, 549 57 adršpach-teplice nad metují, hotel skalní mlýn, česká republika","Dolní Adršpach 1, 549 57 Adršpach-Teplice nad Metují, Hotel Skalní Mlýn, Česká republika",2026-04-08,2026-04-08,-26,Po termínu,červená,2026-04-08 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,83,2016,,,Kollert 727 800 200,,ASTIP PS 3000VA/3F -30 minut," Dolní Adršpach 1, 549 57 Adršpach-Teplice nad Metují, Hotel Skalní Mlýn",,,,,8/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"dolní benešov, opavská 626, lena hračky, česká republika","Dolní Benešov, Opavská 626, Lena hračky, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,84,2015,,,,Moravskoslezský,ASTIP PS 50kVA/3f - 30 minut,"Dolní Benešov, Opavská 626, Lena hračky",,,,,,,,,,,,,,,Lena hračky 2.9.2019 -nabídka na výměnu baterií,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
"dolní morava, horní morava 10, ubytovna sněžník, česká republika","Dolní Morava, Horní Morava 10, ubytovna Sněžník, Česká republika",2025-11-27,2026-05-27,23,7–30 dnů,oranžová,2025-11-27 (proběhlá); 2026-05-27 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,85,2025,,,"Kopa 606 741 982, Složil údržba 776 811 857",,ASTIP STRONG 98/20kVA/3F-45 minut,"Dolní Morava, Horní Morava 10, ubytovna Sněžník",,,,,,27/26,,,,,,27/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"dolní poustevna, vilémovská 259, mak home textile, česká republika","Dolní Poustevna, Vilémovská 259, MaK home textile, Česká republika",2026-03-18,2026-03-18,-47,Po termínu,červená,2026-03-18 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",153,2023,,,,Ústecký,"ASTIP STRONG 14/1,5kVA/1F-30 minut",,,,,18/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Eva Mocíková 777 710 630,"Dolní Poustevna, Vilémovská 259, MaK home textile",,,
"dolní životice, česká republika","Dolní Životice, Česká republika",2026-03-05,2026-09-05,124,Více než 60 dnů,zelená,2026-03-05 (proběhlá); 2026-09-05 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,86,"2015, nově 2024",ano,,Šimčík - 733 164 562,Moravskoslezský, STRONG 30kVA/3f-45 minut,"Dolní Životice,",,,,5/26,,,,,,5/26,,,,,"Nová serviska, 2024 proběhla výměna pajšlu v.č. 24100201",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"dubnica nad váhom, nám. matice slovenskej 4260/33, slovensko","Dubnica nad Váhom, Nám. Matice Slovenskej 4260/33, Slovensko",2021-01-29,2022-09-16,-1326,Po termínu,červená,2021-01-29 (proběhlá); 2022-09-16 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,88,2017,,,Bednár - OTIS -+421 903 443 359,Slovensko,PS LiftBack 15kVA/3F-45 minut,"Dubnica nad Váhom, Nám. Matice Slovenskej 4260/33",,29/21,,,,,,,,16/22,,,,,"10.3.2025 -šlo na sprava.infinity@gmail.com, 7.3.2025 - posílám na Peter.Hudec….2024-na Otis zaslaná aktualizace a dotaz, pan rybár přeposlal provozovateli, čekáme (vladimir.rybar@otis.com)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"dubí u kladna, ke křížku 1083, bd icon park, česká republika","Dubí u Kladna, Ke Křížku 1083, BD Icon Park, Česká republika",,2027-03-26,326,Více než 60 dnů,zelená,2027-03-26 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",154,2024,,,,,ASTIP STRONG 1500VA/1F-45 minut,,,,,26/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Janeček 736 611 796,"Dubí u Kladna, Ke Křížku 1083, BD Icon Park",,,
"dubí u kladna, ke křížku 1084, bd icon park, česká republika","Dubí u Kladna, Ke Křížku 1084, BD Icon Park, Česká republika",,2027-03-26,326,Více než 60 dnů,zelená,2027-03-26 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",155,2024,,,,,ASTIP STRONG 1500VA/1F-45 minut,,,,,26/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Janeček 736 611 796,"Dubí u Kladna, Ke Křížku 1084, BD Icon Park",,,
"dubí u kladna, ke křížku 1085, bd icon park, česká republika","Dubí u Kladna, Ke Křížku 1085, BD Icon Park, Česká republika",,2027-03-26,326,Více než 60 dnů,zelená,2027-03-26 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",156,2024,,,,,ASTIP STRONG 1500VA/1F-45 minut,,,,,26/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Janeček 736 611 796,"Dubí u Kladna, Ke Křížku 1085, BD Icon Park",,,
"dubí, ruská 37/130, pdss, česká republika","Dubí, Ruská 37/130, PDSS, Česká republika",2025-09-22,2026-03-22,-43,Po termínu,červená,2025-09-22 (proběhlá); 2026-03-22 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,87,2024,ano,,Jelínková 778 704 767,Ústecký,ASTIP PS 30kVA/3F-45 minut,"Dubí, Ruská 37/130, PDSS",,,,22/26,,,,,,22/25,,,,,Na Výšině 494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"filipov, zámecká 1/25, alzheimer centrum, česká republika","Filipov, Zámecká 1/25, Alzheimer centrum, Česká republika",2025-12-02,2026-06-02,29,7–30 dnů,oranžová,2025-12-02 (proběhlá); 2026-06-02 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,89,2019,,,Šťastná 774 774 014,Středočeský,Astip PS 5 000/3F -30 minut,"Filipov, Zámecká 1/25, Alzheimer centrum",,,,,,,2/26,,,,,,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"františkovy lázně, česká 39/1, zš, česká republika","Františkovy Lázně, Česká 39/1, ZŠ, Česká republika",2026-02-18,2026-02-18,-75,Po termínu,červená,2026-02-18 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",157,2020,,,,Karlovarský,  PS 3000/3f-30 minut,,,,18/26,,,,,,,,,,,,ZŠ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Jiřina Fajtrová – 731 151 839,"Františkovy Lázně, Česká 39/1, ZŠ",,,
"frenštát pod radhoštěm, horečky 613, penzion edvard, česká republika","Frenštát pod Radhoštěm, Horečky 613, penzion EDVARD, Česká republika",2024-07-04,2025-01-04,-485,Po termínu,červená,2024-07-04 (proběhlá); 2025-01-04 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,90,2021,,,Parma 608 722 276,Moravskoslezský,ASTIP PS 15kVA/3F-45 minut,"Frenštát pod Radhoštěm, Horečky 613, penzion EDVARD",,4/25,,,,,,4/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"frýdek místek, revoluční 1282, dps, česká republika","Frýdek Místek, Revoluční 1282, DPS, Česká republika",2026-01-06,2026-07-06,63,Více než 60 dnů,zelená,2026-01-06 (proběhlá); 2026-07-06 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,91,1181203 v.č.,,ano,"Ing. Hartmann - ředitel, 724 324 969",Moravskoslezský,ASTIP PS 15kVA-rectifier,"Frýdek Místek, Revoluční 1282, DPS",,6/26,,,,,,6/26,,,,,,,2022-Gaudium - nový zdroj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"frýdek-místek, 17.listopadu 147, česká republika","Frýdek-Místek, 17.Listopadu 147, Česká republika",2025-11-29,2025-05-29,-340,Po termínu,červená,2025-05-29 (plánovaná); 2025-11-29 (proběhlá),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,92,2017,,ano,Bc. Jiří Vančura mobil: 770 167 469,Moravskoslezský,Astip STRONG 20 000/3f-45 minut,"Frýdek-Místek, 17.Listopadu 147",,,,,,29/25,,,,,,29/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"frýdlant nad ostravicí, padlých hrdinů 312, česká republika","Frýdlant nad Ostravicí, Padlých hrdinů 312, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,93,2016,,,,Moravskoslezský,ASTIP PS 20kVA/3f-45 minut,"Frýdlant nad Ostravicí, Padlých hrdinů 312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
"frýdlant, zámecký dvůr černousy 50, česká republika","Frýdlant, Zámecký dvůr Černousy 50, Česká republika",2025-08-26,2026-02-26,-67,Po termínu,červená,2025-08-26 (proběhlá); 2026-02-26 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,94,2020,,,Procházka: +420 777 312 171,Liberecký,ASTIP PS Liftback 7 500/3f-45 min,"Frýdlant, Zámecký dvůr Černousy 50",,,26/26,,,,,,26/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"harrachov 698, česká republika","Harrachov 698, Česká republika",,2026-12-04,214,Více než 60 dnů,zelená,2026-12-04 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",158,"2019 -KO, 2023 new",,,,Liberecký,ASTIP STRONG 10 kVA/3f-30 minut,,,,,,,,,,,,,,4/26,,"14.3.2023 - dán nový zdroj, pojistná událost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Rieger Hubert 777 134 232,Harrachov 698,,,
"havlíčkův brod, nuselská 3240, zš, česká republika","Havlíčkův Brod, Nuselská 3240, ZŠ, Česká republika",2026-02-10,2026-08-10,98,Více než 60 dnů,zelená,2026-02-10 (proběhlá); 2026-08-10 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,97,2019,,ano,Beránek - školník 603 863 032,Vysočina,ASTIP STRONG 1500VA/1F -30 minut,"Havlíčkův Brod, Nuselská 3240, ZŠ",,,10/26,,,,,,10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"havlíčkův brod, rozkošská 2322, pn, česká republika","Havlíčkův Brod, Rozkošská 2322, PN, Česká republika",2026-02-10,2026-08-10,98,Více než 60 dnů,zelená,2026-02-10 (proběhlá); 2026-08-10 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,98,2021,,,Urbancová 736 754 073,Vysočina,ASTIP STRONG 10kVA/3F -60 minut,"Havlíčkův Brod, Rozkošská 2322, PN",,,10/26,,,,,,10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"havraň 138, ascorium most, česká republika","Havraň 138, Ascorium Most, Česká republika",2025-06-21,2025-06-21,-317,Po termínu,červená,2025-06-21 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",159,"2019, 2020,2022",,,,Ústecký," 4 x 4kVA +3 x 7,5kVA +2 zdoje z 2022",,,,,,,,21/25,,,,,,,,"21.6.2024 -byl tam Mára Béna s Havelkou, 2 x zdroj mrtvý, zatím nic neřešit, haly se budou asi rušit, čekáme na provozovatele, až ná osloví…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Martin Hotový 725 590 833,"Havraň 138, Ascorium Most",,,
"havraň, prům. zona joseph, fibraň, česká republika","Havraň, Prům. zona Joseph, Fibraň, Česká republika",2025-06-21,2025-06-21,-317,Po termínu,červená,2025-06-21 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",160,2022,,,,Ústecký,"STRONG 7,5kVA + 1 kVA",,,,,,,,21/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Kotek 771 256 557,"Havraň, Prům. zona Joseph, Fibraň",,,
"havířov, merkur b, okrajová 1635-4b, bd, česká republika","Havířov, MERKUR B, Okrajová 1635-4b, BD, Česká republika",,2027-02-19,291,Více než 60 dnů,zelená,2027-02-19 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",161,2025,,,,Moravskoslezský,ASTIP STRONG 43kVA/10kVA/3F-45 minut,,,,19/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Szkandera 733 572 601,"Havířov, MERKUR B, Okrajová 1635-4b, BD",,,
"havířov, parc. 251/4 -stavba 1635, česká republika","Havířov, parc. 251/4 -stavba 1635, Česká republika",,2026-06-06,33,30–60 dnů,žlutá,2026-06-06 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",162,2025,ano,,,Moravskoslezský,ASTIP STRONG 42kVA/10kVA/3F -45 minut,,,,,,,,6/26,,,,,,,,1. revize rok 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Marek Kufa 605 201 005,"Havířov, parc. 251/4 -stavba 1635",,,
